Kind,Name,MaxNesting,SumCyclomatic,AvgCyclomatic,MaxCyclomatic
File,"DirectoryStreamFilterTest.java",2,3,1,2
File,"DirectoryWalker.java",5,31,1,7
File,"DirectoryWalkerTest.java",2,67,1,6
File,"DirectoryWalkerTestCaseJava4.java",2,54,1,3
File,"EmptyFileFilter.java",3,6,2,3
File,"EndianUtils.java",1,33,1,2
File,"EndianUtilsTest.java",1,24,1,2
File,"ExtensionFileComparator.java",0,4,1,1
File,"ExtensionFileComparatorTest.java",0,2,1,1
File,"FalseFileFilter.java",0,8,1,1
File,"FileAlterationListener.java",0,0,0,0
File,"FileAlterationListenerAdaptor.java",0,8,1,1
File,"FileAlterationMonitor.java",2,28,2,5
File,"FileAlterationMonitorTest.java",2,16,1,3
File,"FileAlterationObserver.java",3,54,2,6
File,"FileAlterationObserverTest.java",0,9,1,1
File,"FileCleaner.java",0,7,1,1
File,"FileCleanerTest.java",0,1,1,1
File,"FileCleaningTracker.java",3,20,1,4
File,"FileCleaningTrackerTest.java",3,30,1,5
File,"FileDeleteStrategy.java",1,10,1,3
File,"FileDeleteStrategyTest.java",1,10,1,2
File,"FileEntry.java",1,27,1,4
File,"FileEqualsFileFilter.java",0,3,1,1
File,"FileExistsException.java",0,3,1,1
File,"FileFileFilter.java",0,3,1,1
File,"FileFilterTest.java",2,125,1,8
File,"FileFilterUtils.java",2,56,1,4
File,"FileSystem.java",2,38,1,7
File,"FileSystemProviders.java",3,10,1,5
File,"FileSystemProvidersTest.java",1,6,1,2
File,"FileSystemTest.java",2,23,3,6
File,"FileSystemUtils.java",2,46,3,8
File,"FileSystemUtilsTest.java",3,83,1,6
File,"FileTimes.java",0,9,1,1
File,"FileTimesTest.java",0,7,1,1
File,"FileUtils.java",5,267,1,7
File,"FileUtilsCleanDirectoryTest.java",1,9,1,3
File,"FileUtilsCleanSymlinksTest.java",1,17,1,2
File,"FileUtilsCopyDirectoryToDirectoryTest.java",1,8,1,2
File,"FileUtilsCopyToFileTest.java",1,7,1,2
File,"FileUtilsDeleteDirectoryBaseTest.java",0,10,1,1
File,"FileUtilsDeleteDirectoryLinuxTest.java",1,8,2,3
File,"FileUtilsDeleteDirectoryWindowsTest.java",1,2,2,2
File,"FileUtilsDirectoryContainsTest.java",1,16,1,2
File,"FileUtilsFileNewerTest.java",1,17,1,3
File,"FileUtilsListFilesTest.java",1,9,1,2
File,"FileUtilsTest.java",4,325,1,7
File,"FileUtilsWaitForTest.java",0,4,1,1
File,"FileWriterWithEncoding.java",2,18,1,6
File,"FileWriterWithEncodingTest.java",3,28,1,5
File,"FilenameUtils.java",5,184,3,22
File,"FilenameUtilsTest.java",2,65,1,5
File,"FilenameUtilsWildcardTest.java",3,10,1,3
File,"FilterCollectionWriter.java",0,24,1,2
File,"FullClassNameMatcher.java",0,2,1,1
File,"FullClassNameMatcherTest.java",0,2,1,1
File,"HexDump.java",3,14,3,9
File,"HexDumpTest.java",3,26,8,23
File,"HiddenFileFilter.java",1,4,1,2
File,"IOBiConsumer.java",0,2,1,1
File,"IOBiConsumerTest.java",0,5,1,1
File,"IOCase.java",3,25,1,4
File,"IOCaseTest.java",0,37,1,2
File,"IOConsumer.java",0,5,0,1
File,"IOConsumerTest.java",0,4,1,1
File,"IOExceptionList.java",1,14,1,4
File,"IOExceptionListTest.java",0,9,1,1
File,"IOExceptionWithCause.java",0,2,1,1
File,"IOExceptionWithCauseTest.java",0,3,1,1
File,"IOFileFilter.java",0,4,1,1
File,"IOFileFilterAbstractTest.java",2,26,1,3
File,"IOFunction.java",0,18,1,1
File,"IOFunctionTest.java",1,23,1,1
File,"IOIndexedException.java",0,5,1,3
File,"IOIndexedExceptionTest.java",0,2,1,1
File,"IOStreams.java",2,8,1,3
File,"IOSupplier.java",0,0,0,0
File,"IOUtils.java",4,273,1,12
File,"IOUtilsContentEqualsInputStreamsBenchmark.java",4,29,3,12
File,"IOUtilsContentEqualsReadersBenchmark.java",4,29,3,12
File,"IOUtilsCopyTest.java",1,47,1,1
File,"IOUtilsTest.java",2,209,1,5
File,"IOUtilsWriteTest.java",0,68,1,1
File,"InfiniteCircularInputStream.java",0,1,1,1
File,"InfiniteCircularInputStreamTest.java",1,14,1,3
File,"LastModifiedFileComparator.java",1,3,3,3
File,"LastModifiedFileComparatorTest.java",1,6,6,6
File,"LineIterator.java",3,17,2,7
File,"LineIteratorTest.java",3,36,1,4
File,"LockableFileWriter.java",2,28,1,4
File,"LockableFileWriterTest.java",2,15,1,3
File,"MagicNumberFileFilter.java",4,17,2,4
File,"MarkShieldInputStream.java",0,4,1,1
File,"MarkShieldInputStreamTest.java",2,8,1,1
File,"MemoryMappedFileInputStream.java",2,20,2,3
File,"MemoryMappedFileInputStreamTest.java",1,16,1,1
File,"MessageDigestCalculatingInputStream.java",0,8,1,1
File,"MessageDigestCalculatingInputStreamTest.java",2,3,1,2
File,"MockSerializedClass.java",1,4,1,2
File,"MoreComplexObject.java",1,3,1,2
File,"MoreComplexObjectTest.java",0,5,1,1
File,"NameFileComparator.java",0,4,1,1
File,"NameFileComparatorTest.java",0,2,1,1
File,"NameFileFilter.java",3,19,1,4
File,"NameFileFilterTest.java",1,4,1,2
File,"NoopPathVisitor.java",0,0,0,0
File,"NotFileFilter.java",0,7,1,2
File,"NullAppendable.java",0,4,1,1
File,"NullAppendableTest.java",0,1,1,1
File,"NullInputStream.java",1,32,1,4
File,"NullInputStreamTest.java",1,26,2,6
File,"NullOutputStream.java",0,4,1,1
File,"NullOutputStreamTest.java",1,3,1,1
File,"NullPrintStream.java",0,1,1,1
File,"NullPrintStreamTest.java",1,3,1,1
File,"NullReader.java",1,29,1,4
File,"NullReaderTest.java",1,26,2,6
File,"NullWriter.java",0,11,1,1
File,"NullWriterTest.java",1,1,1,1
File,"ObservableInputStream.java",1,39,1,4
File,"ObservableInputStreamTest.java",4,36,1,5
File,"OrFileFilter.java",3,25,1,4
File,"OrFileFilterTest.java",1,12,1,2
File,"PROPOSAL.html",0,0,0,0
File,"PathEqualsFileFilter.java",0,3,1,1
File,"PathFileComparator.java",0,4,1,1
File,"PathFileComparatorTest.java",0,2,1,1
File,"PathFilter.java",0,0,0,0
File,"PathUtils.java",4,174,1,9
File,"PathUtilsCleanDirectoryTest.java",1,7,1,2
File,"PathUtilsContentEqualsTest.java",1,5,1,2
File,"PathUtilsCountingTest.java",1,5,1,1
File,"PathUtilsDeleteDirectoryTest.java",0,7,1,1
File,"PathUtilsDeleteFileTest.java",1,16,1,2
File,"PathUtilsDeleteTest.java",0,20,1,1
File,"PathUtilsIsEmptyTest.java",1,3,1,1
File,"PathUtilsTest.java",1,39,1,4
File,"PathUtilsVisitorTest.java",0,5,1,1
File,"PathVisitor.java",0,0,0,0
File,"PathVisitorFileFilter.java",1,11,2,3
File,"PeekableInputStream.java",1,6,1,3
File,"PrefixFileFilter.java",3,18,1,4
File,"ProxyCollectionWriter.java",1,25,1,2
File,"ProxyCollectionWriterTest.java",2,50,2,7
File,"ProxyInputStream.java",1,20,1,3
File,"ProxyOutputStream.java",1,13,1,2
File,"ProxyOutputStreamTest.java",1,5,1,2
File,"ProxyReader.java",1,24,1,3
File,"ProxyReaderTest.java",1,8,1,2
File,"ProxyWriter.java",1,23,1,2
File,"ProxyWriterTest.java",1,40,1,1
File,"QueueInputStream.java",0,5,1,2
File,"QueueInputStreamTest.java",1,12,1,2
File,"QueueOutputStream.java",1,5,1,2
File,"QueueOutputStreamTest.java",2,13,1,2
File,"RandomAccessFileInputStream.java",1,18,1,5
File,"RandomAccessFileInputStreamTest.java",2,12,1,1
File,"RandomAccessFileMode.java",0,7,1,1
File,"ReadAheadInputStream.java",4,52,2,8
File,"ReadAheadInputStreamTest.java",0,1,1,1
File,"ReaderInputStream.java",2,29,1,7
File,"ReaderInputStreamTest.java",3,25,1,4
File,"RegexFileFilter.java",0,12,1,2
File,"RegexFileFilterTest.java",1,13,1,3
File,"RegexpClassNameMatcher.java",1,4,1,2
File,"RegexpClassNameMatcherTest.java",0,7,1,1
File,"ReverseFileComparator.java",1,4,1,2
File,"ReversedLinesFileReader.java",3,47,2,8
File,"ReversedLinesFileReaderTestParamBlockSize.java",2,30,1,3
File,"ReversedLinesFileReaderTestParamFile.java",3,9,4,8
File,"ReversedLinesFileReaderTestSimple.java",1,9,1,1
File,"SelectorAdapter.java",0,9,1,1
File,"SequenceReader.java",3,14,2,6
File,"SequenceReaderTest.java",1,20,1,2
File,"SimplePathVisitor.java",0,1,1,1
File,"SizeFileComparator.java",1,10,2,7
File,"SizeFileComparatorTest.java",1,6,2,4
File,"SizeFileFilter.java",1,10,1,2
File,"StandardDeleteOption.java",2,6,2,4
